cidade,ano,mes,dia,data,volume,data_importacao
Porangatu,2024,4,1,2024-04-01 00:00:00,0.0,2024/11/29
Porangatu,2024,4,2,2024-04-02 00:00:00,0.0,2024/11/29
Porangatu,2024,4,3,2024-04-03 00:00:00,11.8,2024/11/29
Porangatu,2024,4,4,2024-04-04 00:00:00,0.0,2024/11/29
Porangatu,2024,4,5,2024-04-05 00:00:00,0.2,2024/11/29
Porangatu,2024,4,6,2024-04-06 00:00:00,1.2,2024/11/29
Porangatu,2024,4,7,2024-04-07 00:00:00,1.0,2024/11/29
Porangatu,2024,4,8,2024-04-08 00:00:00,0.0,2024/11/29
Porangatu,2024,4,9,2024-04-09 00:00:00,0.0,2024/11/29
Porangatu,2024,4,10,2024-04-10 00:00:00,0.0,2024/11/29
Porangatu,2024,4,11,2024-04-11 00:00:00,0.2,2024/11/29
Porangatu,2024,4,12,2024-04-12 00:00:00,0.0,2024/11/29
Porangatu,2024,4,13,2024-04-13 00:00:00,15.6,2024/11/29
Porangatu,2024,4,14,2024-04-14 00:00:00,0.6000000000000001,2024/11/29
Porangatu,2024,4,15,2024-04-15 00:00:00,0.0,2024/11/29
Porangatu,2024,4,16,2024-04-16 00:00:00,0.0,2024/11/29
Porangatu,2024,4,17,2024-04-17 00:00:00,0.0,2024/11/29
Porangatu,2024,4,18,2024-04-18 00:00:00,0.0,2024/11/29
Porangatu,2024,4,19,2024-04-19 00:00:00,0.0,2024/11/29
Porangatu,2024,4,20,2024-04-20 00:00:00,27.8,2024/11/29
Porangatu,2024,4,21,2024-04-21 00:00:00,1.2,2024/11/29
Porangatu,2024,4,22,2024-04-22 00:00:00,0.0,2024/11/29
Porangatu,2024,4,23,2024-04-23 00:00:00,0.0,2024/11/29
Porangatu,2024,4,24,2024-04-24 00:00:00,0.0,2024/11/29
Porangatu,2024,4,25,2024-04-25 00:00:00,7.4,2024/11/29
